DATE,TIME,INT BOARD,RESULT,BOARD NO,REASON,SCORE,X,Y,SIDE,FIN BOARD,SCORE BOARD,POSITIONS VISTED,DEPTH,TIME ELAPSED,THREAD NO.,
13/09/2019,00:43:54,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,2,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000430,28,
13/09/2019,00:43:57,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,1,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,2,00:00:00.0001361,91,
13/09/2019,00:43:57,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,1,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000534,88,
13/09/2019,00:43:54,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,6,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,2,00:00:00.0000349,7,
13/09/2019,00:43:54,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,5,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000638,23,
13/09/2019,00:43:56,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,6,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000293,38,
13/09/2019,00:43:56,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,4,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000411,59,
13/09/2019,00:43:56,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,2,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000425,85,
13/09/2019,00:43:57,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,1,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000831,90,
13/09/2019,00:43:45,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 5,Board combination missed,-1001,1,4,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,1,00:00:00.0000373,3,
13/09/2019,00:43:57,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,6,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000392,37,
13/09/2019,00:43:56,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,7,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000207,29,
13/09/2019,00:43:58,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,1,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000538,35,
13/09/2019,00:43:58,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,1,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000500,36,
13/09/2019,00:43:57,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,3,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,2,00:00:00.0000420,91,
13/09/2019,00:43:57,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,2,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000406,88,
13/09/2019,00:43:59,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,2,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000378,36,
13/09/2019,00:43:59,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,2,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000217,35,
13/09/2019,00:43:59,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,1,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000552,111,
